message_id,label,date,neg,neu,pos,compound
112,ham,2000-01-10,0.0,0.963,0.037,0.6808
113,ham,2000-01-10,0.0,0.821,0.179,0.875
114,ham,2000-01-10,0.021,0.876,0.103,0.9113
115,ham,2000-01-10,0.029,0.803,0.168,0.9392
116,ham,2000-01-10,0.005,0.887,0.109,0.9722
117,ham,2000-01-10,0.033,0.795,0.172,0.8858
118,ham,2000-01-10,0.0,1.0,0.0,0.0
119,ham,2000-01-11,0.0,0.863,0.137,0.7783
120,ham,2000-01-11,0.016,0.928,0.056,0.8852
121,ham,2000-01-11,0.033,0.895,0.072,0.4215
122,ham,2000-01-11,0.019,0.798,0.183,0.9501
123,ham,2000-01-11,0.039,0.941,0.021,-0.7966
124,ham,2000-01-11,0.038,0.889,0.073,0.7791
125,ham,2000-01-11,0.033,0.941,0.026,-0.7595
126,ham,2000-01-11,0.137,0.749,0.114,-0.7449
127,ham,2000-01-11,0.0,0.75,0.25,0.4588
128,ham,2000-01-11,0.034,0.851,0.115,0.9313
129,ham,2000-01-11,0.006,0.937,0.057,0.9941
130,ham,2000-01-12,0.0,1.0,0.0,0.0
131,ham,2000-01-12,0.0,1.0,0.0,0.0
132,ham,2000-01-12,0.0,0.892,0.108,0.9968
133,ham,2000-01-12,0.0,0.874,0.126,0.7964
134,ham,2000-01-12,0.063,0.86,0.077,0.2851
135,ham,2000-01-12,0.034,0.877,0.089,0.7131
136,ham,2000-01-12,0.025,0.91,0.065,0.8418
137,ham,2000-01-12,0.081,0.846,0.073,-0.3129
138,ham,2000-01-12,0.0,0.843,0.157,0.6369
139,ham,2000-01-13,0.0,0.912,0.088,0.5859
140,ham,2000-01-13,0.0,0.98,0.02,0.3182
141,ham,2000-01-14,0.0,1.0,0.0,0.0
142,ham,2000-01-14,0.0,0.834,0.166,0.8459
143,ham,2000-01-14,0.0,0.898,0.102,0.997
144,ham,2000-01-16,0.029,0.857,0.115,0.9022
145,ham,2000-01-17,0.0,1.0,0.0,0.0
146,ham,2000-01-17,0.017,0.823,0.161,0.9753
147,ham,2000-01-17,0.045,0.832,0.124,0.9688
148,ham,2000-01-17,0.077,0.81,0.114,0.946
149,ham,2000-01-17,0.0,1.0,0.0,0.0
150,ham,2000-01-17,0.0,0.783,0.217,0.743
151,ham,2000-01-18,0.121,0.86,0.019,-0.9823
152,ham,2000-01-18,0.034,0.916,0.05,0.7768
153,ham,2000-01-18,0.064,0.911,0.025,-0.9718
154,ham,2000-01-18,0.0,1.0,0.0,0.0
155,ham,2000-01-19,0.0,1.0,0.0,0.0
156,ham,2000-01-19,0.0,0.805,0.195,0.802
157,ham,2000-01-19,0.019,0.848,0.133,0.807
158,ham,2000-01-19,0.027,0.886,0.087,0.985
159,ham,2000-01-19,0.094,0.779,0.127,0.5305
160,ham,2000-01-19,0.0,0.897,0.103,0.9575
161,ham,2000-01-19,0.08,0.92,0.0,-0.4939
162,ham,2000-01-19,0.019,0.899,0.081,0.9839
163,ham,2000-01-20,0.01,0.947,0.043,0.9844
164,ham,2000-01-20,0.0,0.888,0.112,0.5859
165,ham,2000-01-20,0.0,1.0,0.0,0.0
166,ham,2000-01-20,0.0,0.92,0.08,0.9784
167,ham,2000-01-21,0.042,0.859,0.099,0.4588
168,ham,2000-01-21,0.012,0.939,0.049,0.891
169,ham,2000-01-21,0.0,0.821,0.179,0.8225
170,ham,2000-01-21,0.019,0.893,0.087,0.7712
171,ham,2000-01-21,0.0,0.924,0.076,0.6369
172,ham,2000-01-21,0.027,0.907,0.066,0.8765
173,ham,2000-01-21,0.0,1.0,0.0,0.0
174,ham,2000-01-21,0.034,0.795,0.172,0.9531
175,ham,2000-01-21,0.022,0.923,0.056,0.7003
176,ham,2000-01-24,0.02,0.935,0.045,0.4062
177,ham,2000-01-24,0.014,0.909,0.077,0.8164
178,ham,2000-01-24,0.009,0.827,0.164,0.9956
179,ham,2000-01-24,0.008,0.828,0.164,0.9962
180,ham,2000-01-24,0.045,0.893,0.062,0.1999
181,ham,2000-01-24,0.0,1.0,0.0,0.0
182,ham,2000-01-24,0.049,0.902,0.049,-0.0191
183,ham,2000-01-25,0.0,1.0,0.0,0.0
184,ham,2000-01-25,0.0,1.0,0.0,0.0
185,ham,2000-01-25,0.038,0.926,0.035,-0.3612
186,ham,2000-01-25,0.033,0.938,0.029,-0.0772
187,ham,2000-01-25,0.0,0.944,0.056,0.3612
188,ham,2000-01-25,0.0,0.768,0.232,0.9885
189,ham,2000-01-25,0.0,1.0,0.0,0.0
190,ham,2000-01-25,0.0,0.887,0.113,0.4939
191,ham,2000-01-26,0.0,0.964,0.036,0.7579
192,ham,2000-01-26,0.06,0.842,0.098,0.3919
193,ham,2000-01-26,0.0,1.0,0.0,0.0
194,ham,2000-01-26,0.0,1.0,0.0,0.0
195,ham,2000-01-26,0.019,0.93,0.051,0.5423
196,ham,2000-01-27,0.0,0.928,0.072,0.8176
197,ham,2000-01-27,0.0,0.905,0.095,0.9169
198,ham,2000-01-27,0.0,1.0,0.0,0.0
199,ham,2000-01-28,0.252,0.748,0.0,-0.4019
200,ham,2000-01-28,0.0,0.898,0.102,0.6369
201,ham,2000-01-28,0.0,1.0,0.0,0.0
202,ham,2000-01-28,0.048,0.753,0.199,0.9848
203,ham,2000-01-28,0.0,1.0,0.0,0.0
204,ham,2000-01-28,0.0,1.0,0.0,0.0
205,ham,2000-01-31,0.0,0.951,0.049,0.6114
206,ham,2000-01-31,0.0,0.866,0.134,0.8501
207,ham,2000-01-31,0.0,0.953,0.047,0.2732
208,ham,2000-01-31,0.0,0.917,0.083,0.25
209,ham,2000-01-31,0.0,0.959,0.041,0.5574
210,ham,2000-01-31,0.023,0.9,0.077,0.5845
211,ham,2000-01-31,0.074,0.791,0.135,0.7011
212,ham,2000-01-31,0.0,1.0,0.0,0.0
213,ham,2000-01-31,0.0,1.0,0.0,0.0
214,ham,2000-01-31,0.022,0.91,0.067,0.5574
215,ham,2000-01-31,0.0,0.903,0.097,0.5106
216,ham,2000-01-31,0.0,1.0,0.0,0.0
217,ham,2000-02-01,0.047,0.818,0.135,0.9673
218,ham,2000-02-01,0.019,0.94,0.041,0.5911
219,ham,2000-02-01,0.0,1.0,0.0,0.0
220,ham,2000-02-01,0.0,0.902,0.098,0.6369
221,ham,2000-02-01,0.069,0.817,0.114,0.7585
222,ham,2000-02-01,0.0,0.835,0.165,0.8271
223,ham,2000-02-02,0.0,1.0,0.0,0.0
224,ham,2000-02-02,0.0,0.888,0.112,0.6486
225,ham,2000-02-02,0.0,1.0,0.0,0.0
226,ham,2000-02-02,0.0,1.0,0.0,0.0
227,ham,2000-02-02,0.0,0.864,0.136,0.9169
228,ham,2000-02-02,0.02,0.862,0.118,0.9976
229,ham,2000-02-02,0.009,0.786,0.205,0.9977
230,ham,2000-02-02,0.009,0.891,0.101,0.9843
231,ham,2000-02-02,0.0,0.913,0.087,0.5574
232,ham,2000-02-02,0.0,0.932,0.068,0.3612
233,ham,2000-02-03,0.0,0.759,0.241,0.9703
234,ham,2000-02-03,0.022,0.867,0.111,0.8176
235,ham,2000-02-03,0.044,0.866,0.09,0.7789
236,ham,2000-02-03,0.014,0.958,0.028,0.296
237,ham,2000-02-03,0.0,0.944,0.056,0.3612
238,ham,2000-02-03,0.015,0.797,0.188,0.9867
239,ham,2000-02-03,0.031,0.913,0.056,0.9001
240,ham,2000-02-03,0.0,1.0,0.0,0.0
241,ham,2000-02-03,0.0,0.909,0.091,0.5574
242,ham,2000-02-04,0.0,0.888,0.112,0.7351
243,ham,2000-02-04,0.0,0.728,0.272,0.951
244,ham,2000-02-04,0.076,0.895,0.029,-0.6562
245,ham,2000-02-04,0.045,0.931,0.024,-0.6671
246,ham,2000-02-04,0.048,0.803,0.15,0.5719
247,ham,2000-02-04,0.033,0.95,0.017,-0.6671
248,ham,2000-02-04,0.019,0.859,0.122,0.9622
249,ham,2000-02-04,0.033,0.816,0.152,0.9878
250,ham,2000-02-04,0.043,0.836,0.121,0.8647
251,ham,2000-02-04,0.04,0.793,0.167,0.9925
252,ham,2000-02-04,0.045,0.772,0.184,0.9944
253,ham,2000-02-04,0.0,0.857,0.143,0.9268
254,ham,2000-02-04,0.026,0.887,0.087,0.9653
255,ham,2000-02-04,0.0,0.762,0.238,0.9648
256,ham,2000-02-04,0.0,1.0,0.0,0.0
257,ham,2000-02-05,0.064,0.782,0.154,0.9905
258,ham,2000-02-06,0.048,0.869,0.083,0.9792
259,ham,2000-02-07,0.0,0.931,0.069,0.5574
260,ham,2000-02-07,0.098,0.801,0.1,0.0258
261,ham,2000-02-07,0.0,0.948,0.052,0.3818
262,ham,2000-02-07,0.0,1.0,0.0,0.0
263,ham,2000-02-07,0.027,0.869,0.104,0.743
264,ham,2000-02-07,0.056,0.822,0.122,0.4215
265,ham,2000-02-07,0.0,0.85,0.15,0.967
266,ham,2000-02-07,0.0,1.0,0.0,0.0
267,ham,2000-02-07,0.0,0.96,0.04,0.3182
268,ham,2000-02-07,0.0,0.678,0.322,0.9967
269,ham,2000-02-07,0.0,1.0,0.0,0.0
270,ham,2000-02-08,0.0,0.87,0.13,0.9325
271,ham,2000-02-08,0.0,0.945,0.055,0.7351
272,ham,2000-02-08,0.0,1.0,0.0,0.0
273,ham,2000-02-08,0.0,0.93,0.07,0.6369
274,ham,2000-02-08,0.044,0.871,0.085,0.7783
275,ham,2000-02-08,0.012,0.913,0.076,0.8396
276,ham,2000-02-08,0.0,0.943,0.057,0.3182
277,ham,2000-02-09,0.0,0.958,0.042,0.4374
278,ham,2000-02-09,0.0,0.944,0.056,0.7184
279,ham,2000-02-09,0.018,0.812,0.17,0.8754
280,ham,2000-02-09,0.0,1.0,0.0,0.0
281,ham,2000-02-09,0.01,0.951,0.04,0.7184
282,ham,2000-02-09,0.0,0.963,0.037,0.5267
283,ham,2000-02-09,0.05,0.95,0.0,-0.296
284,ham,2000-02-09,0.0,1.0,0.0,0.0
285,ham,2000-02-09,0.017,0.901,0.082,0.9538
286,ham,2000-02-09,0.0,1.0,0.0,0.0
287,ham,2000-02-10,0.023,0.897,0.08,0.8637
288,ham,2000-02-10,0.023,0.931,0.046,0.2263
289,ham,2000-02-10,0.0,0.962,0.038,0.4767
290,ham,2000-02-10,0.0,0.742,0.258,0.9753
291,ham,2000-02-10,0.0,1.0,0.0,0.0
292,ham,2000-02-11,0.016,0.929,0.055,0.5423
293,ham,2000-02-11,0.0,0.933,0.067,0.743
294,ham,2000-02-14,0.0,0.944,0.056,0.6369
295,ham,2000-02-14,0.034,0.866,0.1,0.9767
296,ham,2000-02-14,0.008,0.882,0.11,0.9684
297,ham,2000-02-14,0.0,0.926,0.074,0.4926
298,ham,2000-02-14,0.0,0.848,0.152,0.7783
299,ham,2000-02-14,0.039,0.935,0.025,-0.7454
300,ham,2000-02-14,0.053,0.641,0.306,0.999
301,ham,2000-02-14,0.024,0.823,0.153,0.9999
302,ham,2000-02-14,0.0,1.0,0.0,0.0
303,ham,2000-02-14,0.0,1.0,0.0,0.0
304,ham,2000-02-15,0.0,1.0,0.0,0.0
305,ham,2000-02-15,0.0,0.939,0.061,0.8779
306,ham,2000-02-15,0.0,0.934,0.066,0.9001
307,ham,2000-02-15,0.04,0.869,0.091,0.6369
308,ham,2000-02-15,0.026,0.923,0.051,0.2732
309,ham,2000-02-16,0.196,0.804,0.0,-0.296
310,ham,2000-02-16,0.0,0.931,0.069,0.7717
311,ham,2000-02-16,0.0,0.984,0.016,0.3313
312,ham,2000-02-16,0.0,0.882,0.118,0.8625
313,ham,2000-02-16,0.0,1.0,0.0,0.0
314,ham,2000-02-16,0.003,0.893,0.103,0.9988
315,ham,2000-02-16,0.0,0.897,0.103,0.5574
316,ham,2000-02-17,0.0,0.905,0.095,0.9468
317,ham,2000-02-17,0.0,0.743,0.257,0.7096
318,ham,2000-02-17,0.013,0.859,0.127,0.9762
319,ham,2000-02-17,0.035,0.827,0.139,0.5994
320,ham,2000-02-17,0.033,0.904,0.063,0.3612
321,ham,2000-02-17,0.0,1.0,0.0,0.0
322,ham,2000-02-17,0.036,0.832,0.132,0.7269
323,ham,2000-02-18,0.0,0.827,0.173,0.3182
324,ham,2000-02-18,0.0,0.931,0.069,0.8316
325,ham,2000-02-18,0.0,0.937,0.063,0.4497
326,ham,2000-02-18,0.015,0.966,0.019,0.128
327,ham,2000-02-18,0.022,0.899,0.079,0.6908
328,ham,2000-02-21,0.01,0.841,0.149,0.9918
329,ham,2000-02-22,0.012,0.906,0.082,0.9169
330,ham,2000-02-22,0.0,0.916,0.084,0.6369
331,ham,2000-02-22,0.0,1.0,0.0,0.0
332,ham,2000-02-22,0.0,1.0,0.0,0.0
333,ham,2000-02-22,0.0,0.938,0.062,0.9735
334,ham,2000-02-22,0.0,0.873,0.127,0.9732
335,ham,2000-02-22,0.023,0.841,0.136,0.9744
336,ham,2000-02-22,0.006,0.97,0.024,0.6531
337,ham,2000-02-22,0.245,0.755,0.0,-0.0772
338,ham,2000-02-22,0.033,0.847,0.12,0.7269
339,ham,2000-02-22,0.0,0.874,0.126,0.984
340,ham,2000-02-22,0.0,1.0,0.0,0.0
341,ham,2000-02-23,0.0,0.802,0.198,0.9389
342,ham,2000-02-23,0.031,0.926,0.043,0.2023
343,ham,2000-02-23,0.139,0.8,0.061,-0.2278
344,ham,2000-02-23,0.006,0.922,0.072,0.9476
345,ham,2000-02-23,0.0,0.905,0.095,0.9042
346,ham,2000-02-23,0.0,0.84,0.16,0.8442
347,ham,2000-02-23,0.0,0.562,0.438,0.7184
348,ham,2000-02-23,0.019,0.86,0.121,0.9226
349,ham,2000-02-24,0.0,0.944,0.056,0.6124
350,ham,2000-02-24,0.038,0.787,0.176,0.7955
351,ham,2000-02-24,0.038,0.886,0.077,0.9001
352,ham,2000-02-24,0.0,0.939,0.061,0.7149
353,ham,2000-02-24,0.008,0.91,0.082,0.9445
354,ham,2000-02-24,0.0,0.951,0.049,0.8243
355,ham,2000-02-24,0.0,0.891,0.109,0.8126
356,ham,2000-02-24,0.0,0.838,0.162,0.7717
357,ham,2000-02-24,0.0,0.902,0.098,0.6239
358,ham,2000-02-24,0.0,0.897,0.103,0.9052
359,ham,2000-02-24,0.0,0.787,0.213,0.9042
360,ham,2000-02-25,0.162,0.668,0.171,0.3612
361,ham,2000-02-25,0.0,1.0,0.0,0.0
362,ham,2000-02-25,0.315,0.685,0.0,-0.7096
363,ham,2000-02-25,0.09,0.764,0.146,0.6486
364,ham,2000-02-25,0.0,0.903,0.097,0.8402
365,ham,2000-02-25,0.0,1.0,0.0,0.0
366,ham,2000-02-25,0.0,1.0,0.0,0.0
367,ham,2000-02-25,0.0,1.0,0.0,0.0
368,ham,2000-02-28,0.0,0.934,0.066,0.5719
369,ham,2000-02-28,0.0,0.942,0.058,0.7717
370,ham,2000-02-28,0.0,0.934,0.066,0.8834
371,ham,2000-02-28,0.0,0.98,0.02,0.3182
372,ham,2000-02-28,0.0,1.0,0.0,0.0
373,ham,2000-02-28,0.0,1.0,0.0,0.0
374,ham,2000-02-28,0.0,0.961,0.039,0.4404
375,ham,2000-02-29,0.021,0.904,0.075,0.937
376,ham,2000-02-29,0.0,0.93,0.07,0.6696
377,ham,2000-02-29,0.0,0.887,0.113,0.9862
378,ham,2000-02-29,0.027,0.86,0.113,0.875
379,ham,2000-02-29,0.03,0.837,0.133,0.802
380,ham,2000-02-29,0.039,0.725,0.237,0.9993
381,ham,2000-02-29,0.044,0.936,0.021,-0.3612
382,ham,2000-02-29,0.034,0.899,0.067,0.4168
383,ham,2000-02-29,0.019,0.925,0.055,0.7345
384,ham,2000-03-01,0.0,0.895,0.105,0.7845
385,ham,2000-03-01,0.0,0.82,0.18,0.6696
386,ham,2000-03-01,0.004,0.971,0.025,0.7757
387,ham,2000-03-01,0.004,0.847,0.148,0.9916
388,ham,2000-03-01,0.02,0.932,0.049,0.9769
389,ham,2000-03-01,0.027,0.909,0.064,0.9413
390,ham,2000-03-01,0.011,0.785,0.203,0.9862
391,ham,2000-03-02,0.071,0.791,0.139,0.8898
392,ham,2000-03-02,0.005,0.952,0.043,0.9398
393,ham,2000-03-02,0.037,0.9,0.064,0.7964
394,ham,2000-03-02,0.062,0.881,0.057,-0.0772
395,ham,2000-03-02,0.0,0.757,0.243,0.5423
396,ham,2000-03-03,0.04,0.912,0.048,-0.2716
397,ham,2000-03-03,0.0,0.821,0.179,0.8979
398,ham,2000-03-03,0.0,0.82,0.18,0.7783
399,ham,2000-03-03,0.0,0.857,0.143,0.93
400,ham,2000-03-03,0.035,0.872,0.092,0.6808
401,ham,2000-03-03,0.004,0.926,0.07,0.9791
402,ham,2000-03-03,0.078,0.83,0.092,0.3874
403,ham,2000-03-03,0.014,0.872,0.114,0.9374
404,ham,2000-03-03,0.0,0.972,0.028,0.6486
405,ham,2000-03-03,0.0,0.929,0.071,0.4939
406,ham,2000-03-03,0.011,0.977,0.012,0.0516
407,ham,2000-03-03,0.0,1.0,0.0,0.0
408,ham,2000-03-06,0.073,0.819,0.107,0.4767
409,ham,2000-03-06,0.053,0.865,0.082,0.4019
410,ham,2000-03-06,0.0,1.0,0.0,0.0
411,ham,2000-03-06,0.084,0.795,0.121,0.4429
412,ham,2000-03-06,0.0,0.899,0.101,0.8126
413,ham,2000-03-06,0.0,0.9,0.1,0.836
414,ham,2000-03-06,0.034,0.839,0.127,0.8736
415,ham,2000-03-06,0.0,1.0,0.0,0.0
416,ham,2000-03-07,0.0,1.0,0.0,0.0
417,ham,2000-03-07,0.042,0.881,0.077,0.8337
418,ham,2000-03-07,0.0,0.932,0.068,0.4404
419,ham,2000-03-07,0.0,0.934,0.066,0.9022
420,ham,2000-03-07,0.01,0.92,0.07,0.92
421,ham,2000-03-07,0.021,0.908,0.07,0.9368
422,ham,2000-03-07,0.012,0.767,0.22,0.9955
423,ham,2000-03-07,0.0,0.753,0.247,0.9665
424,ham,2000-03-08,0.076,0.851,0.074,0.1536
425,ham,2000-03-08,0.0,0.95,0.05,0.9393
426,ham,2000-03-08,0.0,0.919,0.081,0.722
427,ham,2000-03-08,0.0,1.0,0.0,0.0
428,ham,2000-03-08,0.0,0.95,0.05,0.4939
429,ham,2000-03-10,0.0,0.937,0.063,0.5719
430,ham,2000-03-10,0.084,0.84,0.076,-0.2711
431,ham,2000-03-10,0.052,0.889,0.059,0.1677
432,ham,2000-03-10,0.016,0.882,0.102,0.9878
433,ham,2000-03-10,0.0,0.841,0.159,0.4767
434,ham,2000-03-11,0.0,0.891,0.109,0.9062
435,ham,2000-03-11,0.031,0.912,0.057,0.6787
436,ham,2000-03-11,0.008,0.823,0.169,0.9901
437,ham,2000-03-13,0.0,0.91,0.09,0.7177
438,ham,2000-03-13,0.0,0.872,0.128,0.7579
439,ham,2000-03-13,0.0,0.913,0.087,0.8655
440,ham,2000-03-13,0.0,0.95,0.05,0.5514
441,ham,2000-03-13,0.0,0.92,0.08,0.9286
442,ham,2000-03-13,0.0,0.932,0.068,0.2732
443,ham,2000-03-13,0.0,0.936,0.064,0.4939
444,ham,2000-03-13,0.0,0.893,0.107,0.6908
445,ham,2000-03-13,0.0,1.0,0.0,0.0
446,ham,2000-03-14,0.041,0.876,0.083,0.9965
447,ham,2000-03-14,0.044,0.956,0.0,-0.5267
448,ham,2000-03-14,0.0,1.0,0.0,0.0
449,ham,2000-03-14,0.0,1.0,0.0,0.0
450,ham,2000-03-15,0.035,0.874,0.091,0.9287
451,ham,2000-03-15,0.016,0.965,0.018,0.1027
452,ham,2000-03-15,0.011,0.964,0.025,0.5574
453,ham,2000-03-15,0.032,0.932,0.037,0.1027
454,ham,2000-03-17,0.0,0.93,0.07,0.7717
455,ham,2000-03-17,0.0,1.0,0.0,0.0
456,ham,2000-03-18,0.0,0.867,0.133,0.68
457,ham,2000-03-19,0.0,0.977,0.023,0.34
458,ham,2000-03-20,0.012,0.988,0.0,-0.0572
459,ham,2000-03-20,0.049,0.871,0.08,0.8264
460,ham,2000-03-20,0.0,0.909,0.091,0.5859
461,ham,2000-03-20,0.063,0.841,0.096,0.2732
462,ham,2000-03-20,0.0,0.917,0.083,0.8885
463,ham,2000-03-20,0.0,1.0,0.0,0.0
464,ham,2000-03-20,0.028,0.854,0.118,0.7561
465,ham,2000-03-20,0.029,0.94,0.031,0.0516
466,ham,2000-03-20,0.016,0.813,0.171,0.9842
467,ham,2000-03-20,0.015,0.867,0.118,0.9155
468,ham,2000-03-20,0.0,0.838,0.162,0.7351
469,ham,2000-03-20,0.0,0.934,0.066,0.8957
470,ham,2000-03-20,0.0,0.945,0.055,0.8074
471,ham,2000-03-20,0.0,0.927,0.073,0.7783
472,ham,2000-03-20,0.013,0.917,0.07,0.9567
473,ham,2000-03-21,0.032,0.895,0.073,0.7351
474,ham,2000-03-21,0.052,0.921,0.027,-0.6301
475,ham,2000-03-21,0.0,0.959,0.041,0.4404
476,ham,2000-03-21,0.048,0.921,0.031,-0.6997
477,ham,2000-03-21,0.0,0.963,0.037,0.6808
478,ham,2000-03-21,0.0,0.925,0.075,0.4767
479,ham,2000-03-21,0.0,0.825,0.175,0.8681
480,ham,2000-03-21,0.023,0.875,0.102,0.9741
481,ham,2000-03-21,0.1,0.882,0.018,-0.782
482,ham,2000-03-21,0.021,0.882,0.097,0.967
483,ham,2000-03-21,0.075,0.902,0.023,-0.6908
