email_id,label,neg,neu,pos,compound
email_201,ai_phish,0.068,0.712,0.22,0.9337
email_202,ai_phish,0.0,0.798,0.202,0.946
email_203,ai_phish,0.046,0.8,0.154,0.8885
email_205,ai_phish,0.01,0.711,0.279,0.9743
email_206,ai_phish,0.023,0.761,0.216,0.9413
email_207,ai_phish,0.0,0.757,0.243,0.9706
email_208,ai_phish,0.0,0.799,0.201,0.9414
email_21,ai_phish,0.079,0.668,0.253,0.9725
email_210,ai_phish,0.055,0.66,0.285,0.967
email_211,ai_phish,0.066,0.723,0.211,0.9155
email_212,ai_phish,0.0,0.754,0.246,0.9687
email_213,ai_phish,0.022,0.766,0.212,0.9559
email_215,ai_phish,0.0,0.744,0.256,0.9657
email_216,ai_phish,0.023,0.709,0.268,0.9661
email_217,ai_phish,0.0,0.77,0.23,0.9608
email_218,ai_phish,0.0,0.829,0.171,0.9172
email_22,ai_phish,0.02,0.74,0.24,0.985
email_220,ai_phish,0.02,0.671,0.309,0.9779
email_221,ai_phish,0.066,0.723,0.211,0.9155
email_222,ai_phish,0.0,0.754,0.246,0.9687
email_223,ai_phish,0.022,0.766,0.212,0.9559
email_225,ai_phish,0.0,0.744,0.256,0.9657
email_226,ai_phish,0.023,0.709,0.268,0.9661
email_227,ai_phish,0.0,0.77,0.23,0.9608
email_228,ai_phish,0.0,0.829,0.171,0.9172
email_23,ai_phish,0.064,0.718,0.218,0.9722
email_230,ai_phish,0.02,0.671,0.309,0.9779
email_231,ai_phish,0.066,0.723,0.211,0.9155
email_232,ai_phish,0.0,0.754,0.246,0.9687
email_233,ai_phish,0.022,0.766,0.212,0.9559
email_235,ai_phish,0.0,0.744,0.256,0.9657
email_236,ai_phish,0.023,0.709,0.268,0.9661
email_237,ai_phish,0.0,0.77,0.23,0.9608
email_238,ai_phish,0.0,0.829,0.171,0.9172
email_24,ai_phish,0.044,0.622,0.334,0.9911
email_240,ai_phish,0.02,0.671,0.309,0.9779
email_241,ai_phish,0.066,0.723,0.211,0.9155
email_242,ai_phish,0.0,0.754,0.246,0.9687
email_243,ai_phish,0.022,0.766,0.212,0.9559
email_245,ai_phish,0.0,0.744,0.256,0.9657
email_246,ai_phish,0.023,0.709,0.268,0.9661
email_247,ai_phish,0.0,0.77,0.23,0.9608
email_248,ai_phish,0.0,0.829,0.171,0.9172
email_25,ai_phish,0.021,0.779,0.201,0.9788
email_250,ai_phish,0.02,0.671,0.309,0.9779
email_251,ai_phish,0.066,0.723,0.211,0.9155
email_252,ai_phish,0.0,0.754,0.246,0.9687
email_253,ai_phish,0.022,0.766,0.212,0.9559
email_255,ai_phish,0.0,0.744,0.256,0.9657
email_256,ai_phish,0.023,0.709,0.268,0.9661
email_257,ai_phish,0.0,0.77,0.23,0.9608
email_258,ai_phish,0.0,0.829,0.171,0.9172
email_26,ai_phish,0.076,0.709,0.215,0.9591
email_260,ai_phish,0.02,0.671,0.309,0.9779
email_261,ai_phish,0.066,0.723,0.211,0.9155
email_262,ai_phish,0.0,0.754,0.246,0.9687
email_263,ai_phish,0.022,0.766,0.212,0.9559
email_265,ai_phish,0.0,0.744,0.256,0.9657
email_266,ai_phish,0.023,0.709,0.268,0.9661
email_267,ai_phish,0.0,0.77,0.23,0.9608
email_268,ai_phish,0.0,0.829,0.171,0.9172
email_27,ai_phish,0.107,0.595,0.298,0.9816
email_270,ai_phish,0.02,0.671,0.309,0.9779
email_271,ai_phish,0.066,0.723,0.211,0.9155
email_272,ai_phish,0.0,0.754,0.246,0.9687
email_273,ai_phish,0.022,0.766,0.212,0.9559
email_275,ai_phish,0.0,0.744,0.256,0.9657
email_276,ai_phish,0.023,0.709,0.268,0.9661
email_277,ai_phish,0.0,0.77,0.23,0.9608
email_278,ai_phish,0.0,0.829,0.171,0.9172
email_28,ai_phish,0.061,0.744,0.195,0.9524
email_280,ai_phish,0.02,0.671,0.309,0.9779
email_281,ai_phish,0.066,0.723,0.211,0.9155
email_282,ai_phish,0.0,0.754,0.246,0.9687
email_283,ai_phish,0.022,0.766,0.212,0.9559
email_285,ai_phish,0.0,0.744,0.256,0.9657
email_286,ai_phish,0.023,0.709,0.268,0.9661
email_287,ai_phish,0.0,0.77,0.23,0.9608
email_288,ai_phish,0.0,0.829,0.171,0.9172
email_29,ai_phish,0.047,0.614,0.339,0.9911
email_290,ai_phish,0.02,0.671,0.309,0.9779
email_291,ai_phish,0.066,0.723,0.211,0.9155
email_292,ai_phish,0.0,0.754,0.246,0.9687
email_293,ai_phish,0.022,0.766,0.212,0.9559
email_295,ai_phish,0.0,0.744,0.256,0.9657
email_296,ai_phish,0.023,0.709,0.268,0.9661
email_297,ai_phish,0.0,0.77,0.23,0.9608
email_298,ai_phish,0.0,0.829,0.171,0.9172
email_3,ai_phish,0.061,0.744,0.195,0.9524
email_30,ai_phish,0.122,0.69,0.189,0.7162
email_300,ai_phish,0.02,0.671,0.309,0.9779
email_301,ai_phish,0.066,0.723,0.211,0.9155
email_302,ai_phish,0.0,0.754,0.246,0.9687
email_303,ai_phish,0.022,0.766,0.212,0.9559
email_305,ai_phish,0.0,0.744,0.256,0.9657
email_306,ai_phish,0.023,0.709,0.268,0.9661
email_307,ai_phish,0.0,0.77,0.23,0.9608
email_308,ai_phish,0.0,0.829,0.171,0.9172
email_31,ai_phish,0.076,0.739,0.184,0.9402
email_310,ai_phish,0.02,0.671,0.309,0.9779
email_311,ai_phish,0.066,0.723,0.211,0.9155
email_312,ai_phish,0.0,0.754,0.246,0.9687
email_313,ai_phish,0.022,0.766,0.212,0.9559
email_315,ai_phish,0.0,0.744,0.256,0.9657
email_316,ai_phish,0.023,0.709,0.268,0.9661
email_317,ai_phish,0.0,0.77,0.23,0.9608
email_318,ai_phish,0.0,0.829,0.171,0.9172
email_32,ai_phish,0.079,0.631,0.29,0.9811
email_320,ai_phish,0.059,0.624,0.316,0.9661
email_321,ai_phish,0.047,0.736,0.217,0.9276
email_322,ai_phish,0.0,0.762,0.238,0.9694
email_323,ai_phish,0.0,0.787,0.213,0.9578
email_325,ai_phish,0.036,0.703,0.261,0.9442
email_326,ai_phish,0.023,0.709,0.268,0.9661
email_327,ai_phish,0.0,0.763,0.237,0.9653
email_328,ai_phish,0.0,0.837,0.163,0.9153
email_33,ai_phish,0.075,0.731,0.194,0.9477
email_330,ai_phish,0.037,0.669,0.294,0.9694
email_331,ai_phish,0.041,0.653,0.306,0.979
email_332,ai_phish,0.009,0.753,0.238,0.9751
email_333,ai_phish,0.0,0.797,0.203,0.9546
email_335,ai_phish,0.037,0.759,0.204,0.9246
email_336,ai_phish,0.0,0.728,0.272,0.9686
email_337,ai_phish,0.0,0.785,0.215,0.9596
email_338,ai_phish,0.024,0.844,0.132,0.8402
email_34,ai_phish,0.02,0.747,0.233,0.9858
email_340,ai_phish,0.055,0.736,0.21,0.9397
email_341,ai_phish,0.021,0.637,0.343,0.9854
email_342,ai_phish,0.009,0.753,0.238,0.9751
email_343,ai_phish,0.0,0.776,0.224,0.9639
email_345,ai_phish,0.037,0.759,0.204,0.9246
email_346,ai_phish,0.0,0.67,0.33,0.9826
email_347,ai_phish,0.0,0.785,0.215,0.9596
email_348,ai_phish,0.024,0.844,0.132,0.8402
email_35,ai_phish,0.043,0.612,0.345,0.992
email_350,ai_phish,0.027,0.663,0.31,0.983
email_351,ai_phish,0.021,0.647,0.332,0.982
email_352,ai_phish,0.009,0.721,0.27,0.9822
email_353,ai_phish,0.0,0.776,0.224,0.9639
email_355,ai_phish,0.038,0.754,0.208,0.9246
email_356,ai_phish,0.0,0.728,0.272,0.9686
email_357,ai_phish,0.0,0.785,0.215,0.9596
email_358,ai_phish,0.024,0.844,0.132,0.8402
email_36,ai_phish,0.046,0.755,0.2,0.9631
email_360,ai_phish,0.025,0.701,0.274,0.9721
email_361,ai_phish,0.041,0.653,0.306,0.9801
email_362,ai_phish,0.009,0.753,0.238,0.9751
email_363,ai_phish,0.0,0.776,0.224,0.9639
email_365,ai_phish,0.037,0.759,0.204,0.9246
email_366,ai_phish,0.0,0.67,0.33,0.9826
email_367,ai_phish,0.0,0.785,0.215,0.9596
email_368,ai_phish,0.024,0.844,0.132,0.8402
email_37,ai_phish,0.067,0.735,0.198,0.9641
email_370,ai_phish,0.009,0.689,0.301,0.9839
email_371,ai_phish,0.022,0.713,0.265,0.969
email_372,ai_phish,0.03,0.713,0.257,0.9746
email_373,ai_phish,0.0,0.805,0.195,0.935
email_375,ai_phish,0.034,0.679,0.287,0.9607
email_376,ai_phish,0.0,0.7,0.3,0.9805
email_377,ai_phish,0.0,0.787,0.213,0.9596
email_378,ai_phish,0.0,0.818,0.182,0.9349
email_38,ai_phish,0.045,0.6,0.355,0.9914
email_380,ai_phish,0.04,0.654,0.307,0.975
email_381,ai_phish,0.0,0.737,0.263,0.9735
email_382,ai_phish,0.021,0.729,0.249,0.9709
email_383,ai_phish,0.0,0.805,0.195,0.935
email_385,ai_phish,0.034,0.679,0.287,0.9607
email_386,ai_phish,0.0,0.7,0.3,0.9805
email_387,ai_phish,0.0,0.787,0.213,0.9596
email_388,ai_phish,0.0,0.818,0.182,0.9349
email_39,ai_phish,0.076,0.739,0.184,0.9402
email_390,ai_phish,0.024,0.656,0.319,0.9812
email_391,ai_phish,0.0,0.762,0.238,0.9638
email_392,ai_phish,0.03,0.732,0.238,0.9692
email_393,ai_phish,0.0,0.768,0.232,0.9607
email_395,ai_phish,0.034,0.663,0.303,0.967
email_396,ai_phish,0.0,0.7,0.3,0.9805
email_397,ai_phish,0.0,0.768,0.232,0.9675
email_398,ai_phish,0.0,0.818,0.182,0.9349
email_4,ai_phish,0.063,0.642,0.295,0.9864
email_40,ai_phish,0.079,0.631,0.29,0.9811
email_400,ai_phish,0.036,0.677,0.287,0.9769
email_401,ai_phish,0.022,0.701,0.277,0.9733
email_402,ai_phish,0.024,0.718,0.258,0.9724
email_403,ai_phish,0.0,0.776,0.224,0.9639
email_405,ai_phish,0.036,0.744,0.22,0.9393
email_406,ai_phish,0.041,0.681,0.278,0.9744
email_407,ai_phish,0.0,0.748,0.252,0.972
email_408,ai_phish,0.0,0.838,0.162,0.9169
email_41,ai_phish,0.0,0.704,0.296,0.9637
email_410,ai_phish,0.036,0.677,0.287,0.9769
email_411,ai_phish,0.022,0.701,0.277,0.9733
email_412,ai_phish,0.024,0.718,0.258,0.9724
email_413,ai_phish,0.0,0.776,0.224,0.9639
email_415,ai_phish,0.036,0.744,0.22,0.9393
email_416,ai_phish,0.041,0.681,0.278,0.9744
email_417,ai_phish,0.0,0.748,0.252,0.972
email_418,ai_phish,0.0,0.838,0.162,0.9169
email_42,ai_phish,0.0,0.609,0.391,0.9515
email_420,ai_phish,0.013,0.672,0.315,0.9864
email_421,ai_phish,0.038,0.693,0.268,0.9764
email_422,ai_phish,0.029,0.7,0.271,0.9784
email_423,ai_phish,0.0,0.78,0.22,0.9539
email_425,ai_phish,0.035,0.737,0.228,0.9274
email_426,ai_phish,0.0,0.674,0.326,0.9839
email_427,ai_phish,0.0,0.803,0.197,0.9601
email_428,ai_phish,0.024,0.813,0.163,0.891
email_43,ai_phish,0.0,0.633,0.367,0.9259
email_430,ai_phish,0.019,0.664,0.317,0.9863
email_431,ai_phish,0.02,0.7,0.28,0.9794
email_432,ai_phish,0.028,0.677,0.294,0.9832
email_433,ai_phish,0.0,0.78,0.22,0.9539
email_435,ai_phish,0.035,0.737,0.228,0.9274
email_436,ai_phish,0.0,0.674,0.326,0.9839
email_437,ai_phish,0.0,0.803,0.197,0.9601
email_438,ai_phish,0.024,0.813,0.163,0.891
email_44,ai_phish,0.0,0.784,0.216,0.8439
email_440,ai_phish,0.054,0.738,0.208,0.9001
email_441,ai_phish,0.048,0.758,0.193,0.8939
email_443,ai_phish,0.023,0.788,0.189,0.9234
email_444,ai_phish,0.027,0.73,0.243,0.9352
email_445,ai_phish,0.0,0.708,0.292,0.967
email_446,ai_phish,0.03,0.818,0.153,0.7118
email_447,ai_phish,0.0,0.82,0.18,0.9325
email_448,ai_phish,0.048,0.696,0.256,0.9435
email_449,ai_phish,0.056,0.573,0.371,0.9799
email_45,ai_phish,0.0,0.49,0.51,0.9823
email_450,ai_phish,0.0,0.827,0.173,0.9172
email_451,ai_phish,0.021,0.658,0.321,0.9753
email_452,ai_phish,0.0,0.803,0.197,0.914
email_453,ai_phish,0.0,0.704,0.296,0.975
email_454,ai_phish,0.03,0.75,0.22,0.9047
email_456,ai_phish,0.0,0.683,0.317,0.9807
email_457,ai_phish,0.0,0.682,0.318,0.9828
email_458,ai_phish,0.0,0.887,0.113,0.7906
email_459,ai_phish,0.0,0.844,0.156,0.8979
email_46,ai_phish,0.0,0.845,0.155,0.7639
email_460,ai_phish,0.0,0.706,0.294,0.9792
email_461,ai_phish,0.0,0.744,0.256,0.954
email_462,ai_phish,0.0,0.708,0.292,0.9716
email_463,ai_phish,0.0,0.751,0.249,0.9595
email_464,ai_phish,0.0,0.654,0.346,0.984
email_465,ai_phish,0.0,0.733,0.267,0.9643
email_466,ai_phish,0.0,0.889,0.111,0.7906
email_467,ai_phish,0.0,0.678,0.322,0.9794
email_468,ai_phish,0.0,0.895,0.105,0.7906
email_469,ai_phish,0.0,0.744,0.256,0.9732
email_47,ai_phish,0.0,0.721,0.279,0.8908
email_470,ai_phish,0.0,0.789,0.211,0.9406
email_471,ai_phish,0.0,0.774,0.226,0.9501
email_472,ai_phish,0.0,0.804,0.196,0.9382
email_473,ai_phish,0.0,0.678,0.322,0.9829
email_474,ai_phish,0.008,0.768,0.224,0.9795
email_475,ai_phish,0.0,0.742,0.258,0.9875
email_476,ai_phish,0.0,0.742,0.258,0.9821
email_477,ai_phish,0.0,0.678,0.322,0.994
email_478,ai_phish,0.0,0.72,0.28,0.9888
email_479,ai_phish,0.0,0.679,0.321,0.993
email_48,ai_phish,0.0,0.585,0.415,0.9638
email_480,ai_phish,0.0,0.727,0.273,0.9902
email_481,ai_phish,0.0,0.771,0.229,0.9802
email_482,ai_phish,0.0,0.678,0.322,0.991
email_483,ai_phish,0.0,0.652,0.348,0.9918
email_484,ai_phish,0.0,0.681,0.319,0.993
email_485,ai_phish,0.0,0.749,0.251,0.986
email_486,ai_phish,0.0,0.681,0.319,0.9929
email_487,ai_phish,0.0,0.691,0.309,0.9909
email_488,ai_phish,0.0,0.701,0.299,0.9904
email_489,ai_phish,0.0,0.786,0.214,0.9799
email_49,ai_phish,0.0,0.652,0.348,0.944
email_490,ai_phish,0.0,0.625,0.375,0.9955
email_491,ai_phish,0.0,0.738,0.262,0.9884
email_492,ai_phish,0.0,0.76,0.24,0.9815
email_493,ai_phish,0.007,0.733,0.26,0.9871
email_494,ai_phish,0.0,0.743,0.257,0.9808
email_495,ai_phish,0.0,0.816,0.184,0.9628
email_496,ai_phish,0.0,0.695,0.305,0.9883
email_497,ai_phish,0.0,0.585,0.415,0.9953
email_498,ai_phish,0.0,0.756,0.244,0.9744
email_499,ai_phish,0.0,0.753,0.247,0.9766
email_5,ai_phish,0.122,0.69,0.189,0.7162
email_50,ai_phish,0.0,0.653,0.347,0.9311
email_500,ai_phish,0.0,0.726,0.274,0.9814
email_501,ai_phish,0.0,0.799,0.201,0.9617
email_502,ai_phish,0.0,0.682,0.318,0.9865
email_503,ai_phish,0.0,0.707,0.293,0.986
email_504,ai_phish,0.0,0.62,0.38,0.9918
email_505,ai_phish,0.0,0.725,0.275,0.9792
email_506,ai_phish,0.0,0.769,0.231,0.9712
email_507,ai_phish,0.0,0.779,0.221,0.969
email_508,ai_phish,0.0,0.785,0.215,0.9577
email_509,ai_phish,0.01,0.75,0.24,0.9714
email_51,ai_phish,0.0,0.712,0.288,0.9414
email_510,ai_phish,0.0,0.687,0.313,0.9805
email_511,ai_phish,0.0,0.714,0.286,0.9771
email_512,ai_phish,0.0,0.724,0.276,0.9797
email_513,ai_phish,0.0,0.594,0.406,0.9937
email_514,ai_phish,0.0,0.822,0.178,0.9413
email_515,ai_phish,0.0,0.761,0.239,0.9781
email_516,ai_phish,0.0,0.779,0.221,0.969
email_517,ai_phish,0.0,0.785,0.215,0.9577
email_518,ai_phish,0.01,0.75,0.24,0.9714
email_519,ai_phish,0.0,0.66,0.34,0.9878
email_52,ai_phish,0.0,0.615,0.385,0.9638
email_520,ai_phish,0.0,0.677,0.323,0.9858
email_521,ai_phish,0.0,0.812,0.188,0.9493
email_522,ai_phish,0.0,0.76,0.24,0.9682
email_523,ai_phish,0.01,0.606,0.383,0.987
email_524,ai_phish,0.0,0.657,0.343,0.9882
email_525,ai_phish,0.0,0.737,0.263,0.9712
email_526,ai_phish,0.0,0.752,0.248,0.967
email_527,ai_phish,0.0,0.78,0.22,0.9666
email_528,ai_phish,0.0,0.779,0.221,0.9577
email_529,ai_phish,0.01,0.763,0.227,0.9659
email_53,ai_phish,0.0,0.554,0.446,0.969
email_530,ai_phish,0.0,0.72,0.28,0.9796
email_531,ai_phish,0.0,0.839,0.161,0.9217
email_532,ai_phish,0.01,0.789,0.201,0.9555
email_533,ai_phish,0.0,0.617,0.383,0.9873
email_534,ai_phish,0.0,0.603,0.397,0.9929
email_535,ai_phish,0.0,0.802,0.198,0.9566
email_536,ai_phish,0.0,0.729,0.271,0.9732
email_537,ai_phish,0.0,0.755,0.245,0.9729
email_538,ai_phish,0.0,0.779,0.221,0.9577
email_539,ai_phish,0.01,0.763,0.227,0.9659
email_54,ai_phish,0.0,0.765,0.235,0.9215
email_540,ai_phish,0.0,0.72,0.28,0.9796
email_541,ai_phish,0.0,0.839,0.161,0.9217
email_542,ai_phish,0.01,0.789,0.201,0.9555
email_543,ai_phish,0.0,0.617,0.383,0.9873
email_544,ai_phish,0.0,0.673,0.327,0.988
email_545,ai_phish,0.0,0.722,0.278,0.9767
email_546,ai_phish,0.0,0.729,0.271,0.9732
email_547,ai_phish,0.0,0.79,0.21,0.9628
email_548,ai_phish,0.0,0.779,0.221,0.9559
email_549,ai_phish,0.021,0.784,0.195,0.9424
email_55,ai_phish,0.0,0.647,0.353,0.9945
email_550,ai_phish,0.0,0.671,0.329,0.9823
email_551,ai_phish,0.0,0.806,0.194,0.946
email_552,ai_phish,0.048,0.763,0.189,0.8957
email_553,ai_phish,0.0,0.628,0.372,0.9905
email_554,ai_phish,0.0,0.676,0.324,0.9888
email_555,ai_phish,0.0,0.784,0.216,0.9517
email_556,ai_phish,0.0,0.696,0.304,0.9867
email_557,ai_phish,0.0,0.696,0.304,0.9861
email_558,ai_phish,0.018,0.683,0.299,0.9837
email_559,ai_phish,0.0,0.713,0.287,0.9287
email_56,ai_phish,0.015,0.642,0.343,0.9909
email_560,ai_phish,0.0,0.715,0.285,0.9313
email_561,ai_phish,0.042,0.731,0.227,0.8225
email_562,ai_phish,0.079,0.772,0.149,0.5994
email_563,ai_phish,0.0,0.754,0.246,0.9001
email_565,ai_phish,0.0,0.808,0.192,0.8402
email_566,ai_phish,0.042,0.758,0.201,0.8126
email_567,ai_phish,0.0,0.703,0.297,0.9313
email_568,ai_phish,0.0,0.752,0.248,0.91
email_569,ai_phish,0.0,0.676,0.324,0.9403
email_57,ai_phish,0.0,0.744,0.256,0.9799
email_570,ai_phish,0.0,0.712,0.288,0.93
email_571,ai_phish,0.0,0.827,0.173,0.802
email_572,ai_phish,0.034,0.635,0.331,0.9451
email_573,ai_phish,0.044,0.679,0.277,0.8927
email_574,ai_phish,0.0,0.821,0.179,0.7579
email_575,ai_phish,0.0,0.773,0.227,0.8728
email_576,ai_phish,0.039,0.7,0.26,0.8834
email_578,ai_phish,0.0,0.792,0.208,0.8402
email_579,ai_phish,0.0,0.73,0.27,0.9881
email_58,ai_phish,0.0,0.784,0.216,0.9762
email_580,ai_phish,0.0,0.765,0.235,0.9766
email_581,ai_phish,0.0,0.789,0.211,0.9744
email_582,ai_phish,0.0,0.731,0.269,0.9806
email_583,ai_phish,0.0,0.754,0.246,0.9837
email_584,ai_phish,0.0,0.682,0.318,0.9446
email_585,ai_phish,0.0,0.729,0.271,0.9104
email_586,ai_phish,0.0,0.794,0.206,0.8555
email_587,ai_phish,0.042,0.7,0.259,0.8878
email_588,ai_phish,0.042,0.808,0.15,0.6808
email_589,ai_phish,0.0,0.765,0.235,0.8728
email_59,ai_phish,0.0,0.728,0.272,0.9799
email_590,ai_phish,0.052,0.564,0.384,0.9571
email_591,ai_phish,0.043,0.643,0.314,0.9212
email_592,ai_phish,0.0,0.836,0.164,0.802
email_594,ai_phish,0.0,0.8,0.2,0.8402
email_595,ai_phish,0.0,0.699,0.301,0.9477
email_596,ai_phish,0.053,0.559,0.388,0.9559
email_597,ai_phish,0.0,0.714,0.286,0.93
email_598,ai_phish,0.041,0.769,0.189,0.7845
email_599,ai_phish,0.0,0.787,0.213,0.8555
email_6,ai_phish,0.031,0.687,0.282,0.9897
email_60,ai_phish,0.0,0.57,0.43,0.994
email_600,ai_phish,0.0,0.725,0.275,0.9152
email_601,ai_phish,0.036,0.661,0.303,0.9153
email_602,ai_phish,0.0,0.715,0.285,0.9027
email_603,ai_phish,0.0,0.833,0.167,0.802
email_604,ai_phish,0.0,0.829,0.171,0.9501
email_605,ai_phish,0.023,0.512,0.464,0.9966
email_606,ai_phish,0.0,0.815,0.185,0.9559
email_607,ai_phish,0.0,0.694,0.306,0.9899
email_608,ai_phish,0.0,0.712,0.288,0.9846
email_609,ai_phish,0.0,0.787,0.213,0.9686
email_61,ai_phish,0.0,0.721,0.279,0.9828
email_610,ai_phish,0.0,0.697,0.303,0.9866
email_611,ai_phish,0.0,0.749,0.251,0.9781
email_612,ai_phish,0.0,0.782,0.218,0.9765
email_613,ai_phish,0.0,0.804,0.196,0.9552
email_614,ai_phish,0.035,0.64,0.325,0.9349
email_615,ai_phish,0.0,0.789,0.211,0.8689
email_616,ai_phish,0.0,0.839,0.161,0.802
email_617,ai_phish,0.037,0.701,0.262,0.9099
email_618,ai_phish,0.042,0.83,0.128,0.6124
email_619,ai_phish,0.0,0.768,0.232,0.8689
email_62,ai_phish,0.0,0.631,0.369,0.9929
email_621,ai_phish,0.0,0.806,0.194,0.8225
email_622,ai_phish,0.036,0.725,0.239,0.8834
